product_id,product_name,category,subcategory,cost_price
1,Development Education,Books,Education,279.9
2,Officer Education,Books,Education,454.6
3,Should Jacket,Clothing,Jacket,845.77
4,Position Science,Books,Science,585.69
5,Reduce Kitchen,Home,Kitchen,123.21
6,Skin Comics,Books,Comics,1088.25
7,Give Shirt,Clothing,Shirt,1012.14
8,Take Mobile,Electronics,Mobile,1143.74
9,Town Jacket,Clothing,Jacket,1361.01
10,Military Furniture,Home,Furniture,289.09
11,Perhaps Camera,Electronics,Camera,1044.96
12,Site Jacket,Clothing,Jacket,830.36
13,Marriage Lighting,Home,Lighting,974.84
14,Morning Decor,Home,Decor,1324.8
15,Direction Fiction,Books,Fiction,1085.01
16,Thing Kitchen,Home,Kitchen,623.83
17,Knowledge Jeans,Clothing,Jeans,1402.46
18,Likely Comics,Books,Comics,498.15
19,Yes Science,Books,Science,751.46
20,Catch Decor,Home,Decor,735.49
21,Course Biography,Books,Biography,1193.49
22,Career Jeans,Clothing,Jeans,735.03
23,Light Tablet,Electronics,Tablet,1418.06
24,Eight Mobile,Electronics,Mobile,1264.6
25,Economy Shirt,Clothing,Shirt,18.67
26,Mention Comics,Books,Comics,958.4
27,Sign Biography,Books,Biography,829.71
28,Majority Mobile,Electronics,Mobile,415.74
29,Perhaps Furniture,Home,Furniture,1048.3
30,Away Education,Books,Education,148.99
31,Power Jeans,Clothing,Jeans,792.05
32,Majority Decor,Home,Decor,123.13
33,Image Biography,Books,Biography,1485.4
34,Position Shoes,Clothing,Shoes,1272.56
35,About Mobile,Electronics,Mobile,568.87
36,Site Fiction,Books,Fiction,1055.75
37,Oil Camera,Electronics,Camera,969.14
38,Minute Storage,Home,Storage,1460.89
39,Fast Laptop,Electronics,Laptop,1302.83
40,Lawyer Comics,Books,Comics,1028.22
41,End Storage,Home,Storage,54.19
42,Around Furniture,Home,Furniture,882.62
43,Section Fiction,Books,Fiction,848.12
44,It Science,Books,Science,1134.64
45,Big Shirt,Clothing,Shirt,1461.61
46,War Mobile,Electronics,Mobile,1258.82
47,Great Storage,Home,Storage,1432.51
48,Woman Comics,Books,Comics,1176.4
49,Our Biography,Books,Biography,831.79
50,Gun Biography,Books,Biography,880.88
51,Grow Fiction,Books,Fiction,446.59
52,Street Shirt,Clothing,Shirt,235.56
53,Activity Jacket,Clothing,Jacket,164.29
54,Movie Headphones,Electronics,Headphones,1143.21
55,Time Laptop,Electronics,Laptop,649.31
56,Political Fiction,Books,Fiction,833.56
57,Economic Lighting,Home,Lighting,584.76
58,Analysis Tablet,Electronics,Tablet,1467.37
59,Choose Jacket,Clothing,Jacket,407.03
60,Should Lighting,Home,Lighting,254.98
61,Difficult Lighting,Home,Lighting,1175.09
62,Leave Decor,Home,Decor,1082.74
63,Their Science,Books,Science,689.5
64,Consider Shoes,Clothing,Shoes,501.66
65,True Comics,Books,Comics,648.77
66,Our Shoes,Clothing,Shoes,1421.18
67,Opportunity Jacket,Clothing,Jacket,1447.04
68,Fly Decor,Home,Decor,951.19
69,Author Shoes,Clothing,Shoes,1225.66
70,Coach Comics,Books,Comics,847.96
71,Company T-Shirt,Clothing,T-Shirt,695.13
