product_id,product_name,category,subcategory,cost_price
1,Life Shirt,Clothing,Shirt,1003.45
2,Allow Science,Books,Science,1278.75
3,Color Storage,Home,Storage,496.29
4,Everything Camera,Electronics,Camera,1366.26
5,Both Education,Books,Education,959.96
6,Machine Jacket,Clothing,Jacket,362.33
7,Mother Lighting,Home,Lighting,280.45
8,ENOUGH HEADPHONES,Electronics,Headphones,49.88
9,Improve Laptop,Electronics,Laptop,295.63
10,Huge Furniture,Home,Furniture,302.69
11,Own Kitchen,Home,Kitchen,396.69
12,Voice Shoes,Clothing,Shoes,372.72
13,Computer Shirt,Clothing,Shirt,396.37
14,Must Mobile,Electronics,Mobile,210.18
15,Relationship Headphones,Electronics,Headphones,461.08
16,Remember Shoes,Clothing,Shoes,993.06
17,Near Fiction,Books,Fiction,1324.67
18,Add Jeans,Clothing,Jeans,570.4
19,Various Decor,Home,Decor,1465.59
20,Hair Shirt,Clothing,Shirt,883.05
21,Home Kitchen,Home,Kitchen,84.62
22,Party Kitchen,Home,Kitchen,1452.73
23,Parent Education,Books,Education,1178.07
