item_id,order_id,product_id,quantity,unit_price,discount_percent
1,704,542,5,1832.51,90.73
2,1789,202,5,1092.53,35.97
3,2790,69,1,828.56,43.11
4,3599,102,6,1670.79,72.7
5,488,338,9,452.42,80.3
6,702,599,10,2158.34,64.31
7,1311,585,2,1461.41,60.76
8,903,292,9,27.03,8.41
9,3251,592,9,1456.89,58.05
10,3377,330,5,393.05,90.58
11,251,111,3,1131.06,89.0
12,4146,310,3,1757.58,43.58
13,4265,401,9,1014.08,62.42
14,4444,151,9,1163.74,93.95
15,3159,469,10,2218.42,32.69
16,3411,320,10,2391.91,69.38
17,2568,196,10,1991.78,71.93
18,780,101,9,484.81,51.74
19,2944,413,3,2073.77,53.36
20,1932,297,3,465.75,25.07
21,1209,258,1,992.39,94.27
22,1989,162,8,34.97,13.94
23,2074,163,4,611.94,42.39
24,3884,395,1,83.8,77.28
25,1622,549,10,1238.8,70.61
26,3849,310,7,139.0,53.91
27,1099,77,8,108.9,65.03
28,425,21,3,610.34,21.87
29,3035,75,1,56.49,67.32
30,4040,149,10,716.31,46.2
31,1498,443,3,872.42,88.54
32,4357,213,7,1487.88,48.54
33,1917,595,7,1381.76,69.93
34,848,565,4,431.46,92.79
35,3124,197,10,2425.91,62.66
36,3494,529,8,63.14,88.46
37,1903,361,1,2260.43,45.66
38,4933,377,4,1451.25,7.08
39,4740,192,2,1689.41,65.08
40,3831,59,6,871.99,81.51
41,3072,7,1,1810.8,55.16
42,4734,410,5,502.57,34.65
43,3397,129,7,1924.06,23.77
44,4742,368,1,191.67,78.11
45,2941,285,5,1873.15,16.29
46,2758,104,6,498.4,84.61
47,2683,69,4,884.04,9.63
48,2904,113,7,2302.59,70.4
50,3514,235,4,1010.74,35.55
52,1167,145,8,600.77,13.43
53,3819,41,8,2482.69,19.87
54,4465,115,3,358.42,8.02
55,4312,584,2,1877.79,35.33
56,2623,143,5,2386.0,12.0
57,2599,596,3,1063.55,75.74
58,1782,73,8,228.32,60.63
59,862,17,4,2490.82,50.39
60,442,443,3,1832.69,33.43
61,216,28,10,594.84,92.78
62,154,250,2,1765.41,29.78
63,307,46,6,331.18,50.08
64,2072,25,5,1364.49,44.77
65,3463,65,3,1067.28,55.02
66,1570,189,9,1901.13,28.15
67,89,215,10,1665.2,96.26
68,2551,508,5,646.97,72.42
69,856,45,5,1034.28,6.63
70,2411,405,1,14.84,1.2
71,1000,241,5,847.21,33.4
72,1091,49,8,1804.67,75.98
73,1048,238,3,1496.02,35.73
74,698,501,8,950.65,78.11
75,4915,573,9,2352.95,55.43
76,3719,503,9,1064.56,73.55
77,1784,513,6,1206.15,65.63
78,4969,550,3,219.22,97.1
79,1317,43,4,701.56,47.66
80,958,259,1,804.52,73.93
81,693,468,7,2072.47,22.33
82,251,511,2,2404.98,57.87
83,329,254,7,1569.68,79.54
84,2614,523,6,835.31,19.27
85,4419,334,10,603.68,39.13
86,2285,314,3,1506.37,76.72
87,665,578,10,797.34,3.11
88,2573,431,7,2242.05,0.84
89,612,364,1,501.08,55.89
90,2838,368,5,1709.28,34.82
91,2619,274,6,713.21,75.93
92,4229,424,1,1145.52,69.85
93,4408,169,9,1614.42,89.75
94,868,33,3,1853.27,45.55
95,75,284,3,63.94,75.61
96,558,128,5,1957.9,29.5
97,3007,504,2,1348.16,1.56
98,189,319,5,1384.36,40.89
99,2107,280,2,380.85,43.34
100,4077,61,5,1742.3,56.3
101,942,17,7,2449.36,50.21
102,1892,249,8,401.01,46.32
103,2407,230,1,1966.72,2.91
104,3082,434,4,1933.97,56.63
105,2101,62,10,1889.36,63.91
106,1865,526,1,2456.7,80.28
107,4098,588,8,365.4,40.39
108,3827,23,10,713.45,52.74
109,1570,61,2,242.18,42.6
110,2028,86,5,2037.04,92.23
111,794,523,7,1969.98,16.61
112,3889,59,6,63.72,27.12
113,1267,363,8,2221.87,80.61
114,2709,216,8,956.06,31.52
115,599,345,3,652.01,63.7
116,222,141,2,79.14,1.16
117,3294,598,2,517.72,78.41
118,1447,78,6,2444.65,30.93
119,3473,449,3,1638.42,94.62
120,4592,272,6,1677.74,31.6
121,3354,112,7,2408.67,31.27
122,2549,277,10,1839.05,41.31
123,2699,323,2,532.04,76.32
124,1264,412,6,1329.62,71.98
125,4374,110,10,681.58,61.2
126,1499,197,5,342.58,34.73
127,2850,524,6,149.35,20.63
128,1405,521,6,1299.5,33.61
129,4073,521,8,229.19,68.61
130,2955,266,8,1973.02,82.24
131,2298,485,3,1235.93,48.24
132,2241,580,5,982.39,79.43
133,3500,290,4,2018.76,4.88
134,4359,524,1,2310.58,39.02
135,3748,373,9,2017.51,80.23
136,1867,576,8,885.57,65.16
137,3112,22,5,1461.2,13.97
138,2083,25,1,1174.79,85.97
139,2902,203,5,1511.6,4.35
140,1824,145,7,2107.59,74.32
141,4618,147,8,998.88,13.61
142,2431,207,2,319.69,39.42
143,3046,61,1,1626.22,23.11
144,4895,521,10,2336.71,25.87
145,3768,571,5,1437.29,15.53
146,4091,271,4,1429.07,72.59
147,2510,363,6,1781.02,35.4
