order_id,customer_id,order_date,status,region_code
1,375.0,2026-01-22 09:05:00,PLACED,SOUTH
2,481.0,2026-04-17 04:55:13,DELIVERED,WEST
3,785.0,2026-07-08 00:59:08,SHIPPED,NORTH
4,194.0,2025-06-04 06:33:48,DELIVERED,SOUTH
5,662.0,2024-10-31 18:08:20,SHIPPED,WEST
6,530.0,2026-05-02 21:51:09,DELIVERED,EAST
7,761.0,2025-04-11 05:20:42,SHIPPED,NORTH
8,297.0,2026-04-14 11:52:15,DELIVERED,WEST
9,20.0,2026-04-25 19:44:16,PLACED,NORTH
10,129.0,2025-02-23 11:31:53,SHIPPED,SOUTH
12,475.0,2024-11-27 19:05:19,PLACED,SOUTH
13,795.0,2026-02-21 05:50:48,SHIPPED,EAST
14,849.0,2025-01-15 02:40:35,DELIVERED,WEST
15,454.0,2025-03-02 19:49:39,SHIPPED,NORTH
16,214.0,2025-09-27 20:40:53,DELIVERED,EAST
17,746.0,2024-10-22 10:23:42,DELIVERED,EAST
18,306.0,2025-11-10 13:08:16,DELIVERED,SOUTH
19,242.0,2024-08-28 16:43:28,SHIPPED,EAST
21,159.0,2025-04-14 23:48:53,SHIPPED,NORTH
22,347.0,2025-04-25 16:54:18,DELIVERED,NORTH
23,158.0,2025-08-05 22:05:09,SHIPPED,SOUTH
24,572.0,2024-12-17 10:37:13,DELIVERED,WEST
25,22.0,2026-04-30 17:36:36,SHIPPED,NORTH
26,449.0,2025-11-15 13:56:16,DELIVERED,SOUTH
27,332.0,2025-12-09 16:41:51,DELIVERED,SOUTH
28,159.0,2025-01-12 19:14:03,DELIVERED,WEST
30,373.0,2024-12-27 20:48:56,DELIVERED,WEST
31,700.0,2025-02-19 08:12:49,DELIVERED,EAST
32,330.0,2025-08-21 09:20:42,PLACED,SOUTH
33,33.0,2026-04-21 04:54:09,PLACED,WEST
34,539.0,2026-06-17 07:05:06,PLACED,SOUTH
35,73.0,2025-10-24 09:12:29,DELIVERED,NORTH
36,655.0,2024-09-12 07:12:59,CANCELLED,WEST
37,814.0,2026-05-03 05:26:35,SHIPPED,NORTH
38,855.0,2025-08-27 06:14:10,RETURNED,NORTH
39,237.0,2026-07-10 07:30:41,DELIVERED,SOUTH
40,971.0,2026-04-30 09:14:50,DELIVERED,NORTH
41,591.0,2025-12-23 07:24:21,DELIVERED,NORTH
42,185.0,2025-12-07 11:24:59,DELIVERED,WEST
43,925.0,2025-08-02 05:26:01,DELIVERED,EAST
44,649.0,2026-02-06 10:39:59,DELIVERED,SOUTH
45,564.0,2024-11-12 09:30:25,RETURNED,WEST
46,1.0,2025-11-01 22:08:57,DELIVERED,SOUTH
47,310.0,2024-10-29 12:03:34,SHIPPED,EAST
49,472.0,2024-08-27 00:30:52,DELIVERED,SOUTH
50,831.0,2025-01-22 03:51:37,DELIVERED,SOUTH
51,741.0,2025-02-24 20:26:48,DELIVERED,NORTH
52,308.0,2024-10-01 03:33:49,DELIVERED,NORTH
53,343.0,2025-05-13 11:31:44,DELIVERED,NORTH
54,233.0,2025-07-30 00:46:10,CANCELLED,WEST
55,537.0,2025-07-04 10:32:06,SHIPPED,SOUTH
56,690.0,2026-01-16 08:38:10,DELIVERED,NORTH
57,297.0,2025-01-22 04:43:03,DELIVERED,WEST
58,51.0,2024-11-27 06:10:47,DELIVERED,WEST
59,134.0,2026-03-08 14:35:23,SHIPPED,WEST
60,201.0,2025-06-29 14:32:00,DELIVERED,SOUTH
61,796.0,2025-04-23 02:04:25,DELIVERED,NORTH
62,434.0,2026-02-13 09:14:49,DELIVERED,NORTH
63,174.0,2026-05-17 08:26:00,RETURNED,WEST
64,452.0,2025-02-16 13:53:05,SHIPPED,EAST
65,746.0,2025-05-03 10:06:41,PLACED,SOUTH
66,840.0,2024-12-17 14:27:19,DELIVERED,EAST
67,24.0,2025-02-18 20:18:01,SHIPPED,EAST
68,638.0,2025-12-29 11:45:23,DELIVERED,NORTH
69,928.0,2024-12-29 23:58:11,SHIPPED,EAST
70,714.0,2026-04-28 00:27:35,DELIVERED,NORTH
71,677.0,2026-04-03 07:15:32,DELIVERED,NORTH
73,727.0,2024-08-24 09:34:12,DELIVERED,NORTH
74,513.0,2026-01-10 01:41:52,DELIVERED,NORTH
75,543.0,2026-03-05 12:06:51,DELIVERED,NORTH
76,361.0,2026-04-21 15:17:58,RETURNED,EAST
77,641.0,2025-02-25 17:50:45,RETURNED,NORTH
78,972.0,2026-02-18 21:52:44,DELIVERED,SOUTH
79,392.0,2024-11-04 12:25:12,DELIVERED,SOUTH
80,587.0,2024-07-21 07:34:07,CANCELLED,EAST
81,135.0,2025-03-11 08:24:10,DELIVERED,SOUTH
82,317.0,2024-11-07 23:05:01,CANCELLED,WEST
83,1000.0,2025-12-12 22:47:49,DELIVERED,SOUTH
84,571.0,2025-09-22 10:28:55,SHIPPED,SOUTH
85,784.0,2025-08-26 11:20:24,RETURNED,EAST
86,957.0,2024-11-09 20:37:01,DELIVERED,SOUTH
88,628.0,2025-05-10 05:02:22,DELIVERED,EAST
