item_id,order_id,product_id,quantity,unit_price,discount_percent,invalid_discount,is_return
1,216,532,5,1924.08,15.55,False,False
2,300,1613,9,1066.97,95.92,False,False
3,283,691,6,809.17,76.49,False,False
4,40,1856,2,1128.11,49.27,False,False
5,304,763,2,1915.04,49.78,False,False
6,133,317,2,947.19,93.89,False,False
7,307,946,1,410.33,73.44,False,False
8,150,892,1,1898.36,84.26,False,False
9,217,1584,6,1161.81,14.13,False,False
10,53,56,6,1157.12,6.11,False,False
11,186,787,9,2015.72,75.47,False,False
12,329,1542,8,582.4,66.46,False,False
13,250,652,1,774.17,22.83,False,False
14,227,608,1,2055.13,84.05,False,False
15,362,941,9,1682.58,38.33,False,False
16,171,532,3,1928.74,39.44,False,False
17,76,1830,9,1132.66,55.5,False,False
18,230,854,5,1077.24,13.61,False,False
19,194,1400,8,525.12,47.82,False,False
20,362,423,2,2358.27,20.82,False,False
21,206,975,9,1049.75,13.84,False,False
22,271,884,10,1807.87,83.59,False,False
23,344,1422,10,85.22,26.32,False,False
24,303,1392,9,592.05,5.75,False,False
25,121,532,6,25.01,78.82,False,False
26,310,1582,9,370.53,20.0,False,False
27,168,1221,7,2135.85,42.91,False,False
28,161,393,5,1707.71,73.79,False,False
29,243,1025,7,1492.49,46.34,False,False
30,82,894,6,2127.84,58.67,False,False
31,270,532,1,376.43,18.09,False,False
32,67,933,4,1824.32,18.03,False,False
33,330,302,3,1210.54,10.64,False,False
34,190,1334,2,2218.65,42.59,False,False
35,55,867,2,419.31,77.94,False,False
36,279,762,3,293.91,26.82,False,False
37,284,477,9,90.63,17.57,False,False
38,297,17,2,526.25,85.65,False,False
39,93,1530,3,1038.89,96.11,False,False
40,8,196,10,2492.24,89.05,False,False
41,138,1015,3,2073.77,6.06,False,False
43,42,820,1,2310.39,44.56,False,False
44,351,23,1,2353.99,29.12,False,False
45,212,1711,4,1152.51,25.38,False,False
46,115,1747,5,291.7,80.83,False,False
47,228,888,3,2447.43,91.59,False,False
48,289,67,1,1856.17,75.62,False,False
49,81,1805,6,880.99,72.85,False,False
50,358,1237,9,555.27,60.47,False,False
51,81,1553,3,1238.21,54.09,False,False
52,294,242,2,2057.39,22.22,False,False
53,289,1674,1,1078.8,12.54,False,False
54,232,810,7,1618.25,82.41,False,False
55,284,1320,8,766.27,97.72,False,False
56,320,1534,10,1570.24,37.36,False,False
57,259,1760,8,1369.87,30.14,False,False
58,254,745,1,1886.31,84.65,False,False
59,280,21,1,1666.12,92.24,False,False
60,88,1219,10,125.68,18.62,False,False
61,154,1807,2,2036.48,61.97,False,False
62,294,1872,5,96.14,22.52,False,False
63,99,507,3,523.66,0.66,False,False
64,35,84,3,393.37,37.42,False,False
65,31,233,6,1549.3,72.94,False,False
66,350,1839,6,93.14,85.53,False,False
67,284,1656,10,1405.05,69.51,False,False
68,126,395,4,2189.12,29.45,False,False
69,84,1213,4,1072.62,0.72,False,False
71,138,1542,4,682.85,16.17,False,False
72,171,1539,10,1500.13,31.31,False,False
73,69,1949,10,150.54,14.26,False,False
74,39,986,8,1154.87,58.8,False,False
75,8,787,5,463.81,77.49,False,False
76,290,417,5,2255.2,34.19,False,False
77,93,811,2,1121.38,70.3,False,False
78,119,1480,2,1007.95,94.42,False,False
79,78,1368,5,2134.09,62.96,False,False
80,53,1838,7,2265.21,70.12,False,False
81,230,1657,10,1918.47,2.64,False,False
82,338,1520,10,2199.61,90.24,False,False
83,139,126,6,485.72,70.52,False,False
84,118,1762,2,836.34,0.99,False,False
85,72,206,2,1458.9,10.51,False,False
86,26,1060,4,2129.87,48.51,False,False
87,72,535,10,1170.68,97.38,False,False
88,129,1762,6,336.92,97.07,False,False
89,363,1677,9,643.39,79.79,False,False
90,277,1621,6,282.56,18.03,False,False
91,278,990,1,1236.67,43.14,False,False
92,102,1970,7,530.33,23.45,False,False
93,286,881,3,892.18,35.8,False,False
94,85,697,10,1173.5,54.29,False,False
95,141,118,5,2209.72,33.35,False,False
96,184,1506,9,1322.96,19.21,False,False
97,165,1433,9,1098.74,79.37,False,False
98,89,37,3,1851.74,26.61,False,False
99,300,1596,8,429.02,30.51,False,False
100,327,1792,4,804.02,37.32,False,False
101,285,326,10,439.81,86.96,False,False
102,274,376,1,888.15,79.58,False,False
103,154,916,7,438.54,41.12,False,False
104,93,1324,10,41.65,85.11,False,False
105,126,1889,3,691.08,28.75,False,False
106,6,1614,10,43.48,70.22,False,False
107,356,909,7,109.0,40.99,False,False
108,176,1696,1,2099.47,96.29,False,False
109,95,137,6,1198.26,28.5,False,False
111,126,760,2,1909.91,53.87,False,False
112,153,1713,3,1164.56,8.68,False,False
113,3,1424,10,126.47,96.51,False,False
114,249,1350,9,102.81,40.0,False,False
115,351,1533,7,1050.78,84.05,False,False
116,67,801,8,710.64,70.87,False,False
118,228,1692,5,1069.77,14.66,False,False
119,106,1777,4,2216.29,78.65,False,False
121,103,1466,7,256.86,34.9,False,False
122,101,942,5,454.91,46.99,False,False
123,245,1948,7,1056.36,91.86,False,False
124,355,427,1,1977.2,60.44,False,False
125,24,1677,3,700.83,42.86,False,False
126,175,205,2,1283.88,44.14,False,False
127,254,1270,2,1542.58,18.88,False,False
128,22,1807,5,430.06,56.04,False,False
129,137,160,8,1923.77,16.82,False,False
130,172,1631,5,498.96,82.39,False,False
131,292,1559,10,2493.61,16.55,False,False
132,190,1527,5,571.23,84.21,False,False
133,291,85,3,709.38,46.76,False,False
134,362,546,4,167.42,1.21,False,False
135,117,1026,1,2187.25,62.58,False,False
136,138,358,6,237.51,72.61,False,False
137,303,1236,4,49.85,79.81,False,False
138,245,1093,10,203.35,67.2,False,False
139,332,1301,1,1032.31,9.39,False,False
140,268,537,4,696.76,45.7,False,False
141,43,1111,7,1883.58,84.32,False,False
142,132,1836,6,1041.09,46.74,False,False
143,207,1134,7,2312.29,90.13,False,False
144,153,1807,2,1738.08,51.95,False,False
145,293,69,9,2346.57,14.92,False,False
146,86,1182,8,2109.38,1.11,False,False
147,21,1429,9,1141.51,84.13,False,False
148,149,2000,9,598.11,41.19,False,False
149,19,467,7,1767.66,44.42,False,False
150,126,433,7,77.35,48.3,False,False
151,12,1675,8,1017.33,70.08,False,False
152,70,375,2,1839.89,42.06,False,False
153,329,576,8,1942.49,61.43,False,False
154,332,1039,9,1082.96,21.8,False,False
155,24,794,6,1182.11,20.52,False,False
156,349,1666,7,431.21,51.5,False,False
157,258,1549,10,1209.13,39.98,False,False
158,327,661,6,2121.92,84.38,False,False
159,72,1697,5,303.69,45.54,False,False
160,288,866,5,1914.84,76.48,False,False
161,350,1482,9,1112.53,40.71,False,False
162,32,1562,4,183.62,76.3,False,False
163,347,1836,10,2200.35,47.46,False,False
164,261,1719,10,1543.12,67.29,False,False
165,82,1005,10,308.8,15.39,False,False
166,105,1583,6,2012.66,46.37,False,False
167,4,1094,8,1062.99,83.05,False,False
168,208,1203,10,736.92,3.02,False,False
169,341,481,10,2431.47,8.71,False,False
170,155,1408,4,2474.02,60.15,False,False
171,184,1588,1,1418.3,97.84,False,False
173,2,754,9,653.57,60.73,False,False
174,140,476,3,1407.91,51.26,False,False
175,126,1663,5,145.22,14.67,False,False
176,276,229,2,1041.57,50.2,False,False
177,193,1954,1,1605.82,66.33,False,False
178,331,1081,2,1453.95,75.56,False,False
179,334,1743,1,638.97,77.24,False,False
180,335,1047,3,241.95,0.15,False,False
181,59,975,8,145.45,59.91,False,False
182,153,88,3,1121.2,4.79,False,False
183,277,65,1,1298.78,89.83,False,False
184,206,308,2,1326.44,60.06,False,False
185,334,1783,7,1928.28,83.29,False,False
186,16,1353,9,2128.14,45.76,False,False
187,297,1979,9,853.81,56.49,False,False
188,46,155,8,1053.18,0.22,False,False
189,308,1812,10,2236.92,85.86,False,False
190,208,803,3,339.75,55.75,False,False
191,9,492,9,1566.0,45.63,False,False
192,216,399,3,1684.57,88.24,False,False
193,167,1645,5,1491.21,63.02,False,False
194,172,1069,3,1704.36,87.5,False,False
195,6,1507,1,1868.48,81.05,False,False
196,337,1796,3,941.1,40.78,False,False
197,80,1960,1,564.84,36.42,False,False
198,137,1168,1,1133.86,82.29,False,False
199,193,1330,1,1905.0,0.08,False,False
200,163,273,5,2112.71,89.14,False,False
201,182,456,5,1749.02,42.49,False,False
202,359,1092,9,2039.73,78.98,False,False
203,125,1790,5,1006.27,70.17,False,False
204,61,722,9,2186.95,57.0,False,False
205,190,567,8,2348.28,40.01,False,False
206,66,473,3,1075.44,38.12,False,False
207,320,1987,8,1327.06,28.37,False,False
208,298,636,2,1421.7,48.46,False,False
209,26,1949,3,648.87,60.48,False,False
210,211,1155,7,1553.51,1.11,False,False
211,233,1943,7,2329.23,58.34,False,False
212,177,773,3,1529.58,59.0,False,False
213,80,1205,10,2287.88,60.32,False,False
214,165,1540,9,1386.59,47.75,False,False
215,238,1455,7,1243.63,61.09,False,False
216,223,26,6,759.76,24.71,False,False
217,268,1941,9,2168.66,25.15,False,False
218,49,671,10,508.35,52.79,False,False
219,307,174,4,395.35,12.61,False,False
221,76,1721,8,1546.18,74.7,False,False
222,157,1518,2,1633.64,22.68,False,False
223,289,145,1,552.14,11.82,False,False
224,295,1016,4,810.28,90.11,False,False
225,17,1212,9,1536.11,43.48,False,False
226,197,609,6,407.82,78.59,False,False
227,6,675,3,1556.5,70.94,False,False
228,94,479,3,848.72,23.21,False,False
229,219,877,10,1525.49,80.04,False,False
230,287,1855,10,1554.9,12.51,False,False
231,280,1887,10,2432.23,81.65,False,False
232,68,1801,6,20.74,47.39,False,False
233,2,919,6,1543.06,40.9,False,False
234,171,984,9,390.81,76.45,False,False
235,4,635,5,627.29,93.94,False,False
236,364,335,8,801.79,96.44,False,False
237,317,647,4,2127.55,9.69,False,False
238,254,403,1,1609.49,7.33,False,False
239,215,177,6,1896.35,76.18,False,False
240,76,1424,3,840.48,62.2,False,False
241,37,1210,10,503.71,48.43,False,False
242,98,611,4,1832.09,81.04,False,False
243,230,587,5,1379.38,0.01,False,False
244,14,910,5,1876.98,53.45,False,False
245,162,135,3,2308.28,88.49,False,False
246,40,1593,8,1895.07,7.13,False,False
247,353,1142,8,2134.8,97.5,False,False
248,123,1969,2,1646.95,86.39,False,False
249,138,721,10,964.98,97.16,False,False
250,38,1144,1,1989.02,50.89,False,False
251,41,1493,6,1844.15,9.54,False,False
252,318,804,8,1676.0,24.89,False,False
253,25,1325,2,1234.82,47.28,False,False
254,301,504,1,2231.73,80.12,False,False
255,160,241,5,1353.54,98.47,False,False
256,365,1119,4,382.53,8.14,False,False
258,191,1875,1,2053.71,55.47,False,False
259,356,1524,5,62.39,44.48,False,False
261,196,579,2,1733.2,70.93,False,False
262,122,702,4,1804.87,13.22,False,False
263,310,960,1,756.95,85.0,False,False
264,28,1561,9,1923.87,43.2,False,False
265,310,1144,1,1212.59,96.88,False,False
266,348,1466,10,302.54,69.93,False,False
267,355,1289,2,2215.46,28.21,False,False
268,103,1395,4,2141.84,14.53,False,False
269,50,687,7,1347.41,55.35,False,False
270,84,1640,9,1004.36,18.65,False,False
271,336,826,2,90.55,99.42,False,False
272,161,463,3,1505.54,47.04,False,False
273,140,745,1,1780.81,29.63,False,False
274,348,1827,1,1700.49,13.76,False,False
275,33,593,4,982.1,7.34,False,False
276,125,1181,10,688.03,87.64,False,False
277,209,271,8,2183.22,17.98,False,False
278,296,770,6,2307.89,36.33,False,False
279,197,151,1,1852.26,30.12,False,False
280,285,1858,3,1126.58,21.61,False,False
281,25,678,7,2321.03,5.18,False,False
282,203,489,4,1090.59,0.84,False,False
283,272,1817,1,1606.27,64.7,False,False
284,5,1278,7,1367.1,12.07,False,False
285,304,243,4,2471.21,5.87,False,False
286,74,748,4,346.79,60.83,False,False
287,103,1572,6,2357.47,75.7,False,False
288,306,751,10,585.85,11.21,False,False
289,22,102,3,1561.97,53.34,False,False
290,238,715,1,2293.91,94.75,False,False
291,132,1662,5,690.65,63.02,False,False
292,147,1531,3,1396.52,60.5,False,False
293,116,1053,5,235.5,55.74,False,False
294,281,1220,9,979.33,62.93,False,False
295,145,1561,9,832.13,98.04,False,False
296,306,1627,3,1717.71,14.94,False,False
297,27,645,8,1751.53,37.99,False,False
298,210,211,4,2029.04,84.04,False,False
299,16,917,5,36.11,44.89,False,False
300,208,33,3,336.39,35.33,False,False
301,187,56,2,186.81,95.49,False,False
302,118,1392,1,1817.33,95.11,False,False
303,49,648,7,1063.88,34.69,False,False
304,192,265,8,456.31,30.22,False,False
305,168,630,4,1111.42,26.53,False,False
306,188,438,7,251.71,81.17,False,False
307,164,1481,8,1155.99,57.27,False,False
308,269,1306,2,1443.19,39.79,False,False
309,208,1190,5,544.87,33.01,False,False
310,100,1805,2,812.45,60.73,False,False
311,287,943,5,996.01,95.48,False,False
312,26,1582,6,472.48,24.29,False,False
313,46,1111,8,670.74,85.55,False,False
314,84,53,2,1512.64,43.25,False,False
315,74,1414,4,1769.11,69.86,False,False
316,69,431,4,1418.15,86.06,False,False
317,96,1779,5,1406.07,13.34,False,False
318,203,1915,4,2011.7,96.42,False,False
319,304,1337,7,475.21,16.53,False,False
320,319,1911,8,1775.68,22.38,False,False
321,334,289,9,126.37,23.83,False,False
323,117,1559,7,1997.96,51.63,False,False
324,153,1014,5,1653.01,60.46,False,False
325,312,19,9,2001.24,48.33,False,False
326,169,1726,6,679.14,34.21,False,False
327,227,663,7,1096.68,68.97,False,False
328,283,1965,10,560.63,2.95,False,False
329,126,438,7,1686.85,18.43,False,False
330,78,1872,7,329.42,44.94,False,False
331,39,849,8,2217.89,50.62,False,False
332,206,1902,1,753.86,47.81,False,False
334,161,348,1,1563.52,79.61,False,False
335,44,1491,3,2061.99,64.03,False,False
336,68,1839,5,1245.19,1.85,False,False
337,188,1037,7,425.84,45.34,False,False
338,2,1725,3,2315.61,83.04,False,False
339,126,1448,1,1018.05,80.49,False,False
340,207,1809,6,2388.45,26.24,False,False
341,145,1175,7,1125.06,31.51,False,False
342,107,214,8,1311.57,21.76,False,False
343,293,1392,10,1216.17,57.43,False,False
344,307,1618,9,202.69,59.87,False,False
345,302,1516,9,1554.35,31.5,False,False
347,224,608,3,549.03,13.18,False,False
348,132,1830,4,958.7,13.08,False,False
349,300,1442,3,2337.06,53.37,False,False
350,54,675,2,1543.64,56.24,False,False
351,9,9,6,1752.51,18.25,False,False
352,358,1883,8,2190.44,13.75,False,False
353,272,1441,4,2289.4,93.9,False,False
354,327,331,5,859.11,71.51,False,False
355,33,1736,9,1288.35,50.12,False,False
356,66,420,3,1131.13,64.3,False,False
357,337,1120,8,2431.6,29.01,False,False
358,197,1429,7,201.82,73.13,False,False
359,190,821,5,771.81,74.76,False,False
360,139,802,10,71.01,67.94,False,False
361,228,1277,9,680.66,77.5,False,False
362,348,1110,7,611.19,0.37,False,False
363,228,316,10,511.31,80.4,False,False
364,31,1176,1,2201.34,41.72,False,False
365,4,203,7,1052.55,35.63,False,False
366,351,1038,6,1021.82,27.78,False,False
