product_id,product_name,category,subcategory,cost_price
1,Almost T-Shirt,Clothing,T-Shirt,436.81
2,Song Shoes,Clothing,Shoes,931.02
3,Decade Furniture,Home,Furniture,296.72
4,Black Science,Books,Science,744.98
5,Realize Biography,Books,Biography,668.56
6,Everyone Shirt,Clothing,Shirt,1194.84
7,Marriage Shoes,Clothing,Shoes,808.72
8,Body Jacket,Clothing,Jacket,1159.96
9,Force Science,Books,Science,861.21
10,Morning Storage,Home,Storage,553.46
11,Write Camera,Electronics,Camera,1484.71
12,Wear Laptop,Electronics,Laptop,1498.97
13,Number Comics,Books,Comics,1226.01
14,Couple Fiction,Books,Fiction,359.23
15,Follow Storage,Home,Storage,253.14
16,Try Jeans,Clothing,Jeans,1209.13
17,More Storage,Home,Storage,810.46
18,Interest Decor,Home,Decor,404.68
19,Market Laptop,Electronics,Laptop,1179.61
20,History Headphones,Electronics,Headphones,194.7
21,Discover Jeans,Clothing,Jeans,486.53
22,Very Jacket,Clothing,Jacket,868.25
23,Protect Lighting,Home,Lighting,117.9
24,Operation Camera,Electronics,Camera,420.95
25,Eye Lighting,Home,Lighting,494.3
26,Tv Mobile,Electronics,Mobile,690.38
27,Performance Furniture,Home,Furniture,599.59
28,Concern Education,Books,Education,487.68
29,Young Decor,Home,Decor,200.24
30,Number Comics,Books,Comics,1144.57
31,Age Mobile,Electronics,Mobile,1255.87
32,During Mobile,Electronics,Mobile,241.19
33,Sure Fiction,Books,Fiction,644.56
34,Five Shoes,Clothing,Shoes,1399.42
35,Story Furniture,Home,Furniture,379.33
36,Either Kitchen,Home,Kitchen,940.28
37,Garden Jacket,Clothing,Jacket,1057.03
38,Wrong Laptop,Electronics,Laptop,203.39
39,Especially T-Shirt,Clothing,T-Shirt,18.88
40,Single Furniture,Home,Furniture,636.36
41,Music Jacket,Clothing,Jacket,577.69
42,View Mobile,Electronics,Mobile,1322.08
43,Law Jacket,Clothing,Jacket,1130.97
44,Market Jeans,Clothing,Jeans,847.12
45,Help Jacket,Clothing,Jacket,323.52
46,Study Jacket,Clothing,Jacket,666.36
47,Enjoy Shirt,Clothing,Shirt,214.32
48,Home Tablet,Electronics,Tablet,530.55
49,Similar Comics,Books,Comics,375.44
50,Democrat Laptop,Electronics,Laptop,902.01
51,Think Furniture,Home,Furniture,989.32
52,Argue Kitchen,Home,Kitchen,766.74
53,Her Comics,Books,Comics,1176.78
54,Teach Jacket,Clothing,Jacket,365.42
55,Single Tablet,Electronics,Tablet,23.04
56,Hot Decor,Home,Decor,1291.92
57,Score Comics,Books,Comics,263.29
58,Thousand Fiction,Books,Fiction,25.62
59,Important Shirt,Clothing,Shirt,1423.28
60,Glass Science,Books,Science,1070.38
61,Since Biography,Books,Biography,128.23
62,Away Shoes,Clothing,Shoes,123.14
63,Investment Jeans,Clothing,Jeans,589.14
64,Exist Headphones,Electronics,Headphones,1096.29
65,Plant Shirt,Clothing,Shirt,1387.32
66,Staff Camera,Electronics,Camera,87.27
67,Happen Shirt,Clothing,Shirt,1053.74
68,Film Jacket,Clothing,Jacket,786.89
69,Fly Kitchen,Home,Kitchen,1125.92
70,Under Furniture,Home,Furniture,48.89
71,Way Comics,Books,Comics,398.11
72,Well Camera,Electronics,Camera,543.39
73,Work Science,Books,Science,240.18
74,Father Tablet,Electronics,Tablet,177.42
75,Happy Mobile,Electronics,Mobile,23.37
76,Story Camera,Electronics,Camera,1380.74
