item_id,order_id,product_id,quantity,unit_price,discount_percent
1,214,1999,8,2115.56,65.17
2,293,1522,3,2126.55,80.43
3,169,893,4,2347.23,61.56
4,283,549,-3,648.68,32.05
5,43,849,7,2173.33,71.73
6,187,109,3,1831.08,28.13
7,274,629,1,166.86,65.06
8,343,370,8,1599.72,36.86
9,325,877,3,929.94,89.32
10,33,262,6,2047.34,80.02
11,278,575,4,1846.19,41.14
12,155,1383,3,138.98,87.27
13,362,1045,9,2246.48,11.45
14,171,435,5,855.73,81.53
15,176,1290,5,1790.55,81.85
16,273,1369,3,2160.11,80.61
17,262,174,1,2090.86,24.81
18,365,932,9,1989.77,84.68
19,132,1587,4,117.98,67.27
20,163,38,10,942.02,87.69
21,27,1553,3,870.96,93.38
22,180,160,5,336.54,40.15
23,331,883,1,280.54,62.42
24,233,448,6,1601.55,15.55
25,119,244,4,795.83,27.29
26,306,1603,5,633.15,89.2
27,353,657,3,642.9,1.69
28,108,221,10,1441.73,93.41
29,287,1017,1,614.91,88.05
30,298,56,6,2124.34,23.99
31,324,429,5,2364.53,74.6
32,73,52,3,2235.08,68.14
33,196,1678,6,377.69,50.5
34,197,1632,10,869.3,92.41
35,118,1218,9,614.94,58.05
36,16,1185,5,1708.28,7.94
37,181,1561,9,1117.85,43.99
38,272,1926,3,2139.88,67.89
39,93,1487,10,2173.97,50.97
40,102,25,10,1708.48,7.12
41,186,1293,10,1612.16,85.72
42,326,1417,9,1830.79,83.26
43,215,323,5,1676.59,67.89
44,2,1835,7,530.91,15.65
45,328,1040,2,1123.66,52.04
46,297,1131,6,2178.0,66.45
47,340,1857,1,325.92,25.21
48,237,589,10,528.31,2.09
49,273,515,7,1205.23,49.49
50,77,611,10,1576.51,25.54
51,245,483,-5,1592.27,57.42
52,335,1279,2,1875.01,0.04
53,101,1551,2,999.93,90.98
54,333,148,10,1840.09,61.84
55,222,170,5,2447.21,77.66
56,216,563,7,1213.71,99.1
57,113,710,8,465.55,34.17
58,359,1449,6,72.1,24.8
59,3,155,-4,1843.91,8.01
60,47,677,9,404.26,56.87
61,253,605,1,182.97,73.83
62,138,432,7,2374.01,54.98
63,76,1140,1,2144.74,23.51
64,109,268,7,2129.74,30.07
65,243,237,5,104.96,4.82
66,233,1965,7,1613.3,49.14
67,317,337,8,190.28,12.22
68,236,330,2,2017.73,2.54
69,273,1475,5,125.75,10.47
70,177,1572,2,982.86,46.5
71,277,1290,7,932.21,75.63
72,116,1650,8,1831.44,39.85
73,164,1297,8,1476.79,72.79
74,309,171,5,2085.31,2.07
75,317,1196,10,2097.57,21.74
76,277,1467,8,2134.23,31.45
77,276,10,4,729.64,83.94
78,109,51,4,666.71,81.78
79,238,1739,-3,90.37,2.35
80,240,716,7,850.5,44.67
81,316,890,4,2014.31,78.99
82,108,1084,2,357.36,8.07
83,73,1680,8,2465.66,20.23
84,179,1039,4,418.0,47.47
85,116,1404,3,628.01,2.92
86,133,1134,1,2333.75,84.29
87,354,1056,1,1786.57,88.05
88,189,1029,2,61.54,30.45
89,164,1396,4,2074.04,46.44
