order_id,customer_id,order_date,status,region_code
1,2202.0,2026-02-19 03:07:45,DELIVERED,WEST
2,1281.0,09-02-2026,DELIVERED,SOUTH
3,1070.0,2026-04-18 04:48:46,DELIVERED,WEST
4,1618.0,2025-06-02 18:08:53,SHIPPED,NORTH
5,3251.0,2026-04-29 13:43:26,DELIVERED,NORTH
6,,2025-08-01 23:51:54,DELIVERED,WEST
7,539.0,2025-12-12 03:10:05,PLACED,EAST
8,,2026-01-08 05:01:05,PLACED,EAST
9,3756.0,2025-04-17 23:54:51,SHIPPED,EAST
10,2512.0,2026-05-09 22:29:28,SHIPPED,WEST
11,2918.0,2026-05-08 15:42:18,SHIPPED,WEST
12,2158.0,2026-04-22 06:36:07,PLACED,EAST
13,2887.0,2026-05-02 06:01:32,CANCELLED,WEST
14,4912.0,2025-12-19 17:52:02,CANCELLED,SOUTH
15,572.0,2025-11-16 08:33:17,SHIPPED,SOUTH
16,408.0,2026-03-13 17:14:09,CANCELLED,EAST
17,168.0,2025-04-10 04:31:46,RETURNED,SOUTH
18,4056.0,2025-04-14 17:03:13,DELIVERED,EAST
19,1192.0,2026-01-26 00:16:55,DELIVERED,WEST
20,4087.0,2026-06-05 09:29:22,DELIVERED,NORTH
21,3871.0,2024-11-06 23:40:23,DELIVERED,WEST
22,3939.0,2025-09-27 22:01:54,DELIVERED,SOUTH
23,2424.0,2025-05-29 06:02:10,DELIVERED,NORTH
24,,2026-04-20 04:38:38,SHIPPED,SOUTH
25,1353.0,2026-05-17 15:29:11,DELIVERED,EAST
26,1055.0,2025-06-01 09:44:05,DELIVERED,WEST
27,413.0,2025-11-24 05:11:32,SHIPPED,NORTH
28,,2025-09-25 19:46:30,DELIVERED,NORTH
29,4332.0,2024-12-13 04:30:13,DELIVERED,EAST
30,2870.0,2024-07-20 13:04:44,RETURNED,SOUTH
31,2173.0,2026-03-03 00:11:28,DELIVERED,NORTH
32,165.0,2024-09-26 07:18:50,PLACED,SOUTH
33,5000.0,2026-06-21 23:10:08,CANCELLED,EAST
