product_id,product_name,category,subcategory,cost_price
1,MEDIA JACKET,Clothing,Jacket,176.45
2,Challenge Shoes,Clothing,Shoes,699.05
3,During Fiction,Books,Fiction,987.25
4,Price Education,Books,Education,422.32
5,Authority Jeans,Clothing,Jeans,912.45
6,Plant Shoes,Clothing,Shoes,1113.46
7,Husband Shirt,Clothing,Shirt,21.76
8,Enjoy Kitchen,Home,Kitchen,271.02
9,Worry Tablet,Electronics,Tablet,1046.63
10,Thus Camera,Electronics,Camera,668.76
11,Woman Mobile,Electronics,Mobile,1151.84
12,Listen Shoes,Clothing,Shoes,303.98
13,   Store Camera   ,Electronics,Camera,508.99
14,Eight Shirt,Clothing,Shirt,1324.02
15,eITHER jEANS,Clothing,Jeans,165.99
16,Toward Decor,Home,Decor,288.37
17,Build T-Shirt,Clothing,T-Shirt,644.68
18,Area Jeans,Clothing,Jeans,488.43
19,Himself Camera,Electronics,Camera,22.91
20,Him Jacket,Clothing,Jacket,988.65
21,Right Storage,Home,Storage,105.66
22,Near Jacket,Clothing,Jacket,900.31
23,Help Tablet,Electronics,Tablet,1383.72
24,Someone Shoes,Clothing,Shoes,901.8
25,Particularly Education,Books,Education,954.85
26,Point Lighting,Home,Lighting,31.38
27,Than Biography,Books,Biography,1114.01
28,   Analysis Laptop   ,Electronics,Laptop,466.73
29,Board Education,Books,Education,94.58
30,Sense Lighting,Home,Lighting,231.75
31,Difference Shirt,Clothing,Shirt,1089.34
32,Good Comics,Books,Comics,479.72
33,Professor Tablet,Electronics,Tablet,625.27
34,Lay Furniture,Home,Furniture,1100.65
35,Art Kitchen,Home,Kitchen,85.84
36,Happen Jeans,Clothing,Jeans,575.32
37,Crime Kitchen,Home,Kitchen,14.03
38,Form Fiction,Books,Fiction,82.9
39,Benefit Jeans,Clothing,Jeans,264.65
40,Ahead Jeans,Clothing,Jeans,642.23
41,Music Comics,Books,Comics,300.32
42,System Education,Books,Education,458.14
43,Wind Education,Books,Education,1173.03
44,Continue Headphones,Electronics,Headphones,255.81
45,Wind Biography,Books,Biography,1103.72
46,HUSBAND JACKET,Clothing,Jacket,643.96
47,Point Headphones,Electronics,Headphones,233.43
48,Work Shoes,Clothing,Shoes,462.24
49,Read Lighting,Home,Lighting,723.86
50,Three Kitchen,Home,Kitchen,297.6
51,sECURITY sHIRT,Clothing,Shirt,1096.9
52,Cause Lighting,Home,Lighting,626.65
53,Project Comics,Books,Comics,465.18
54,Little Camera,Electronics,Camera,1488.75
55,Different Camera,Electronics,Camera,247.73
56,Local Comics,Books,Comics,1128.61
57,Cultural Storage,Home,Storage,954.29
58,Floor Furniture,Home,Furniture,1390.15
59,Charge Jeans,Clothing,Jeans,1382.6
60,Wall Furniture,Home,Furniture,969.77
61,Find Storage,Home,Storage,1023.19
62,Sort Kitchen,Home,Kitchen,1427.91
63,Improve Shirt,Clothing,Shirt,143.0
64,Send Biography,Books,Biography,1461.35
65,Most Tablet,Electronics,Tablet,1314.63
66,Attorney Jacket,Clothing,Jacket,456.82
67,All Science,Books,Science,620.36
68,Fine Mobile,Electronics,Mobile,1166.15
69,Seek Kitchen,Home,Kitchen,318.24
70,   Green Comics   ,Books,Comics,1225.5
71,Health Mobile,Electronics,Mobile,1045.99
72,Process Comics,Books,Comics,260.1
73,Wear Kitchen,Home,Kitchen,301.04
74,Agency T-Shirt,Clothing,T-Shirt,678.74
75,Model Jeans,Clothing,Jeans,1126.12
76,Whether Shoes,Clothing,Shoes,1308.07
77,Age Science,Books,Science,956.47
78,Nature Headphones,Electronics,Headphones,191.4
79,   Early Headphones   ,Electronics,Headphones,719.46
80,Environment Mobile,Electronics,Mobile,1128.94
81,Probably Tablet,Electronics,Tablet,67.58
82,Maybe T-Shirt,Clothing,T-Shirt,566.62
83,Plant Lighting,Home,Lighting,508.86
84,Message Comics,Books,Comics,1335.78
85,Statement Kitchen,Home,Kitchen,999.29
86,Phone Science,Books,Science,537.26
87,wITHIN fURNITURE,Home,Furniture,605.7
88,Huge Shirt,Clothing,Shirt,1304.16
89,Cup Kitchen,Home,Kitchen,929.44
90,Position Science,Books,Science,285.96
91,Boy Furniture,Home,Furniture,1310.78
92,Animal Lighting,Home,Lighting,729.38
93,Exactly Headphones,Electronics,Headphones,1397.57
94,Performance Fiction,Books,Fiction,444.33
95,Pass Jeans,Clothing,Jeans,1314.97
96,Beyond Laptop,Electronics,Laptop,135.2
97,Can Education,Books,Education,1432.8
98,Feel Science,Books,Science,321.4
99,Country Mobile,Electronics,Mobile,1075.07
100,Drive Shoes,Clothing,Shoes,1150.63
